asn,ix_id,fac_id,name,state,city
15133,6,224,Digital Realty CHI (350 E Cermak),IL,Chicago
6939,6,224,Digital Realty CHI (350 E Cermak),IL,Chicago
15169,6,224,Digital Realty CHI (350 E Cermak),IL,Chicago
55256,6,224,Digital Realty CHI (350 E Cermak),IL,Chicago
14340,6,224,Digital Realty CHI (350 E Cermak),IL,Chicago
32748,6,224,Digital Realty CHI (350 E Cermak),IL,Chicago
32899,6,224,Digital Realty CHI (350 E Cermak),IL,Chicago
23473,6,224,Digital Realty CHI (350 E Cermak),IL,Chicago
10310,6,224,Digital Realty CHI (350 E Cermak),IL,Chicago
396850,6,224,Digital Realty CHI (350 E Cermak),IL,Chicago
22822,6,224,Digital Realty CHI (350 E Cermak),IL,Chicago
58907,6,224,Digital Realty CHI (350 E Cermak),IL,Chicago
9304,6,224,Digital Realty CHI (350 E Cermak),IL,Chicago
42,6,224,Digital Realty CHI (350 E Cermak),IL,Chicago
30517,6,224,Digital Realty CHI (350 E Cermak),IL,Chicago
23367,6,224,Digital Realty CHI (350 E Cermak),IL,Chicago
16524,6,224,Digital Realty CHI (350 E Cermak),IL,Chicago
3856,6,224,Digital Realty CHI (350 E Cermak),IL,Chicago
12200,6,224,Digital Realty CHI (350 E Cermak),IL,Chicago
44444,6,224,Digital Realty CHI (350 E Cermak),IL,Chicago
397494,6,224,Digital Realty CHI (350 E Cermak),IL,Chicago
22425,6,224,Digital Realty CHI (350 E Cermak),IL,Chicago
13335,1307,224,Digital Realty CHI (350 E Cermak),IL,Chicago
199524,1307,224,Digital Realty CHI (350 E Cermak),IL,Chicago
63023,1307,224,Digital Realty CHI (350 E Cermak),IL,Chicago
16509,1307,224,Digital Realty CHI (350 E Cermak),IL,Chicago
8075,1307,224,Digital Realty CHI (350 E Cermak),IL,Chicago
57976,1307,224,Digital Realty CHI (350 E Cermak),IL,Chicago
15133,1307,224,Digital Realty CHI (350 E Cermak),IL,Chicago
6939,1307,224,Digital Realty CHI (350 E Cermak),IL,Chicago
49544,1307,224,Digital Realty CHI (350 E Cermak),IL,Chicago
714,1307,224,Digital Realty CHI (350 E Cermak),IL,Chicago
62904,1307,224,Digital Realty CHI (350 E Cermak),IL,Chicago
33438,1307,224,Digital Realty CHI (350 E Cermak),IL,Chicago
14928,1307,224,Digital Realty CHI (350 E Cermak),IL,Chicago
2906,1307,224,Digital Realty CHI (350 E Cermak),IL,Chicago
32934,1307,224,Digital Realty CHI (350 E Cermak),IL,Chicago
19151,1307,224,Digital Realty CHI (350 E Cermak),IL,Chicago
11403,1307,224,Digital Realty CHI (350 E Cermak),IL,Chicago
32035,1307,224,Digital Realty CHI (350 E Cermak),IL,Chicago
394968,1307,224,Digital Realty CHI (350 E Cermak),IL,Chicago
62597,1307,224,Digital Realty CHI (350 E Cermak),IL,Chicago
21788,1307,224,Digital Realty CHI (350 E Cermak),IL,Chicago
40630,1307,224,Digital Realty CHI (350 E Cermak),IL,Chicago
13335,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
132203,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
4775,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
20940,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
32787,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
852,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
1239,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
40676,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
199524,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
2914,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
20473,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
16509,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
8075,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
36351,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
16276,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
57976,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
14537,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
15133,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
137409,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
398465,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
6939,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
1828,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
13030,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
49544,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
32181,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
855,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
668,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
396238,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
32798,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
15169,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
23393,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
21859,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
22616,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
54994,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
13727,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
62955,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
11272,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
17117,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
17253,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
55219,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
7029,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
27202,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
46562,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
19754,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
14340,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
4826,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
7843,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
20115,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
714,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
46450,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
396998,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
12083,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
4181,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
32748,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
22995,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
577,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
812,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
10242,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
13445,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
5645,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
40788,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
33438,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
16552,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
62887,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
7795,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
5650,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
237,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
13428,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
54113,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
46489,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
6461,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
53610,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
29838,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
14928,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
23473,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
53597,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
16591,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
5769,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
2906,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
32703,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
7794,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
19108,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
6128,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
11232,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
13807,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
3737,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
6327,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
21804,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
11260,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
6079,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
13855,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
21928,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
8047,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
19016,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
8220,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
10310,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
32934,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
1547,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
15695,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
12129,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
39386,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
11550,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
11686,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
395570,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
27630,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
393950,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
15092,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
64208,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
63242,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
26223,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
22822,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
19551,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
6507,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
15412,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
7332,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
17054,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
15305,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
53828,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
11979,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
19679,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
6181,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
30081,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
41095,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
2635,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
24482,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
32244,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
3303,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
30600,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
8560,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
